scenario,deal_name,year,relative_year,active,asset_value,debt_balance,assumed_liabilities,net_equity_value,noi,gross_rent,debt_service,capex,free_cashflow_after_debt_and_capex,dscr,prior_refi_liability,ending_refi_liability,max_debt_supported,cash_out_before_refi_costs,refi_costs,refi_capacity,refi_proceeds,refi_liability_added,deal_nav_before_refi_liability,deal_nav_after_refi_liability,deal_nav,entry_equity_cushion,value_to_new_equity_multiple,new_equity_required,refinance_proceeds_use
jon_base_case,jon_deal_1,1,1,True,13000000.0,10000000.0,0.0,3000000.0,720000.0,0.0,750000.0,308800.0,-338800.0,0.96,0.0,0.0,9100000.0,-900000.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,0.0,1.0,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,2,2,True,13390000.0,10000000.0,0.0,3390000.0,883333.3333333333,0.0,750000.0,260333.3333333333,-127000.00000000006,1.1777777777777776,0.0,0.0,9373000.0,-627000.0,0.0,0.0,0.0,0.0,3390000.0,3390000.0,3390000.0,0.0,1.13,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,3,3,True,13791700.0,10000000.0,0.0,3791700.0,1046666.6666666666,0.0,750000.0,181866.66666666666,114799.99999999997,1.3955555555555554,0.0,0.0,9654190.0,-345810.0,0.0,0.0,0.0,0.0,3791700.0,3791700.0,3791700.0,0.0,1.2639,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,4,4,True,14205451.0,10000000.0,0.0,4205451.0,1210000.0,0.0,750000.0,133400.0,326600.0,1.6133333333333333,0.0,0.0,9943815.7,-56184.300000000745,0.0,0.0,0.0,0.0,4205451.0,4205451.0,4205451.0,0.0,1.401817,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,5,5,True,14631614.530000001,10000000.0,0.0,4631614.530000001,1246300.0,0.0,750000.0,49852.0,446448.0,1.6617333333333333,0.0,0.0,10242130.171,242130.1710000001,6053.254275000003,236076.91672500008,0.0,0.0,4631614.530000001,4631614.530000001,4631614.530000001,0.0,1.5438715100000004,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,6,6,True,15070562.9659,10000000.0,0.0,5070562.9659,1283689.0,0.0,750000.0,51347.56,482341.44,1.7115853333333333,0.0,0.0,10549394.076129999,549394.076129999,13734.851903249975,535659.224226749,0.0,0.0,5070562.9659,5070562.9659,5070562.9659,0.0,1.6901876553000001,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,7,7,True,15522679.854877003,10000000.0,0.0,5522679.854877003,1322199.67,0.0,750000.0,52887.9868,519311.6831999999,1.7629328933333333,0.0,844229.0009535528,10865875.8984139,865875.8984139003,21646.897460347507,844229.0009535528,844229.0009535528,844229.0009535528,5522679.854877003,4678450.853923449,5522679.854877003,0.0,1.840893284959001,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,8,8,True,15988360.250523312,10000000.0,0.0,5988360.250523312,1361865.6601000002,0.0,750000.0,54474.62640400001,557391.0336960002,1.8158208801333335,844229.0009535528,844229.0009535528,11191852.175366318,347623.1744127651,8690.579360319127,338932.59505244595,0.0,0.0,5988360.250523312,5144131.249569759,5988360.250523312,0.0,1.9961200835077706,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,9,9,True,16468011.058039013,10000000.0,0.0,6468011.058039013,1402721.629903,0.0,750000.0,56108.86519612,596612.7647068801,1.8702955065373335,844229.0009535528,844229.0009535528,11527607.74062731,683378.7396737565,17084.468491843912,666294.2711819126,0.0,0.0,6468011.058039013,5623782.05708546,6468011.058039013,0.0,2.1560036860130043,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,10,10,True,16962051.389780182,10000000.0,0.0,6962051.389780182,1444803.27880009,0.0,750000.0,57792.1311520036,637011.1476480864,1.9264043717334534,844229.0009535528,844229.0009535528,11873435.972846126,1029206.9718925734,25730.174297314337,1003476.797595259,0.0,0.0,6962051.389780182,6117822.388826629,6962051.389780182,0.0,2.320683796593394,3000000.0,fund_liquidity
jon_base_case,jon_deal_1,11,11,True,17470912.93147359,10000000.0,0.0,7470912.93147359,1488147.3771640928,0.0,750000.0,59525.895086563716,678621.4820775292,1.9841965028854571,844229.0009535528,844229.0009535528,12229639.052031513,1385410.0510779605,34635.25127694901,1350774.7998010116,0.0,0.0,7470912.93147359,6626683.930520037,7470912.93147359,0.0,2.490304310491197,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,1,1,True,13000000.0,10000000.0,0.0,3000000.0,565000.0,0.0,750000.0,368250.0,-553250.0,0.7533333333333333,0.0,0.0,7800000.0,-2200000.0,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,0.0,1.0,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,2,2,True,13130000.0,10000000.0,0.0,3130000.0,648750.0,0.0,750000.0,312437.5,-413687.5,0.865,0.0,0.0,7878000.0,-2122000.0,0.0,0.0,0.0,0.0,3130000.0,3130000.0,3130000.0,0.0,1.0433333333333332,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,3,3,True,13261300.0,10000000.0,0.0,3261300.0,732500.0,0.0,750000.0,236625.0,-254125.0,0.9766666666666667,0.0,0.0,7956780.0,-2043220.0,0.0,0.0,0.0,0.0,3261300.0,3261300.0,3261300.0,0.0,1.0871,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,4,4,True,13393913.000000002,10000000.0,0.0,3393913.000000002,816250.0,0.0,750000.0,155812.5,-89562.5,1.0883333333333334,0.0,0.0,8036347.800000001,-1963652.1999999993,0.0,0.0,0.0,0.0,3393913.000000002,3393913.000000002,3393913.000000002,0.0,1.131304333333334,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,5,5,True,13527852.13,10000000.0,0.0,3527852.130000001,900000.0,0.0,750000.0,100000.0,50000.0,1.2,0.0,0.0,8116711.278,-1883288.722,0.0,0.0,0.0,0.0,3527852.130000001,3527852.130000001,3527852.130000001,0.0,1.1759507100000002,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,6,6,True,13663130.651300002,10000000.0,0.0,3663130.651300002,909000.0,0.0,750000.0,45450.0,113550.0,1.212,0.0,0.0,8197878.390780001,-1802121.609219999,0.0,0.0,0.0,0.0,3663130.651300002,3663130.651300002,3663130.651300002,0.0,1.221043550433334,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,7,7,True,13799761.957813002,10000000.0,0.0,3799761.957813002,918090.0,0.0,750000.0,45904.5,122185.5,1.22412,0.0,0.0,8279857.174687801,-1720142.825312199,0.0,0.0,0.0,0.0,3799761.957813002,3799761.957813002,3799761.957813002,0.0,1.2665873192710007,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,8,8,True,13937759.57739113,10000000.0,0.0,3937759.577391131,927270.9000000001,0.0,750000.0,46363.54500000001,130907.35500000013,1.2363612000000002,0.0,0.0,8362655.746434678,-1637344.2535653217,0.0,0.0,0.0,0.0,3937759.577391131,3937759.577391131,3937759.577391131,0.0,1.3125865257970437,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,9,9,True,14077137.173165044,10000000.0,0.0,4077137.173165044,936543.609,0.0,750000.0,46827.18045000001,139716.42855000004,1.248724812,0.0,0.0,8446282.303899026,-1553717.6961009745,0.0,0.0,0.0,0.0,4077137.173165044,4077137.173165044,4077137.173165044,0.0,1.359045724388348,3000000.0,fund_liquidity
