hf_allocation,hf_harvest_rate,backend_strategy,refi_cap,hf_liquidation_cap,routing_policy,trigger_threshold,lp_cash_moic,lp_hurdle_achieved,year_hurdle_achieved,gp_residual_nav,total_gp_economics,trigger_executed,trigger_hf_pct,trigger_refi_pct,final_fund_nav
0.1,0.0,Refi Led,0.4,0.85,Current,0.0,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Refi Led,0.4,0.85,Current,0.1,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Refi Led,0.4,0.85,Current,0.5,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Refi Led,0.4,0.85,Current,1.0,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Refi Led,0.4,0.85,Current,1.25,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Balanced Liquidity,0.35,0.85,Current,0.0,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Balanced Liquidity,0.35,0.85,Current,0.1,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Balanced Liquidity,0.35,0.85,Current,0.5,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Balanced Liquidity,0.35,0.85,Current,1.0,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,Balanced Liquidity,0.35,0.85,Current,1.25,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,HF Led,0.15,1.0,Current,0.0,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
0.1,0.0,HF Led,0.15,1.0,Current,0.1,0.1233036712532891,False,,0.0,281955.3235600343,False,0.0,0.0,24207363.78316987
