scenario,year,bonus_depreciation,straight_line_depreciation,total_depreciation,cumulative_depreciation,interest_deduction,cumulative_interest_deduction,total_deductions,cumulative_deductions,hf_stcg,re_taxable_income,total_taxable_income_no_benefit,total_taxable_income_with_benefit,tax_no_benefit,tax_with_benefit,tax_savings,cumulative_tax_savings,lp_cash_distributions,after_tax_cash_ideal,cumulative_after_tax_cash_ideal,after_tax_moic_ideal,passive_loss_generated,passive_loss_used,passive_loss_carryforward
base_hit_everyone_happy,1,2000000.0,218181.81818181818,2218181.8181818184,2218181.8181818184,525000.0,525000.0,2743181.8181818184,2743181.8181818184,455175.0,-2105681.8181818184,567675.0,-1650506.8181818184,210039.75,0.0,210039.75,210039.75,60690.0,270729.75,270729.75,0.027072975,2105681.8181818184,455175.0,1650506.8181818184
base_hit_everyone_happy,2,0.0,218181.81818181818,218181.81818181818,2436363.6363636367,525000.0,1050000.0,743181.8181818181,3486363.6363636367,485813.2499999999,-63606.81818181829,640388.2499999998,422206.4318181816,236943.6524999999,156216.37977272717,80727.27272727274,290767.0227272727,64775.09999999999,145502.37272727274,416232.12272727274,0.04162321227272727,63606.81818181829,485813.2499999999,1228300.3863636367
base_hit_everyone_happy,3,0.0,218181.81818181818,218181.81818181818,2654545.454545455,525000.0,1575000.0,743181.8181818181,4229545.454545455,518497.49249999993,-18754.86818181834,717924.4424999999,499742.6243181816,265632.04372499994,184904.7709977272,80727.27272727274,371494.2954545454,69132.999,149860.27172727272,566092.3944545455,0.05660923944545455,18754.86818181834,518497.49249999993,728557.7620454552
base_hit_everyone_happy,4,0.0,218181.81818181818,218181.81818181818,2872727.2727272734,525000.0,2100000.0,743181.8181818181,4972727.272727273,553363.7177249999,29057.31051818159,800602.8464249996,582421.0282431815,296223.05317724985,215495.78044997717,80727.27272727268,452221.5681818181,73781.82902999998,154509.10175727267,720601.4962118182,0.07206014962118182,0.0,553363.7177249999,175194.0443204553
base_hit_everyone_happy,5,0.0,218181.81818181818,218181.81818181818,3090909.0909090918,525000.0,2625000.0,743181.8181818181,5715909.090909092,590556.9294436497,80025.0930123814,888763.8406378492,670582.0224560311,328842.6210360042,248115.34830873148,80727.27272727274,532948.8409090908,78740.92392581997,159468.1966530927,880069.6928649109,0.0880069692864911,0.0,175194.0443204553,0.0
base_hit_everyone_happy,6,0.0,218181.81818181818,218181.81818181818,3309090.90909091,525000.0,3150000.0,743181.8181818181,6459090.90909091,630231.7413896825,134356.74915119848,982770.3087226991,764588.490540881,363625.0142273987,282897.74150012597,80727.2727272727,613676.1136363635,84030.89885195767,164758.17157923037,1044827.8644441413,0.10448278644441412,0.0,0.0,0.0
base_hit_everyone_happy,7,0.0,218181.81818181818,218181.81818181818,3527272.7272727285,525000.0,3675000.0,743181.8181818181,7202272.727272728,672553.0131082635,192274.29459517746,1083009.1258852591,864827.307703441,400713.3765775459,319986.1038502732,80727.2727272727,694403.3863636362,89673.73508110181,170401.00780837453,1215228.8722525158,0.12152288722525158,0.0,0.0,0.0
base_hit_everyone_happy,8,0.0,218181.81818181818,218181.81818181818,3745454.545454547,525000.0,4200000.0,743181.8181818181,7945454.545454547,717696.5278317456,254014.3980384593,1189892.7440520232,971710.9258702048,440260.31529924856,359533.0425719758,80727.27272727276,775130.659090909,95692.87037756608,176420.14310483885,1391649.0153573547,0.13916490153573546,0.0,0.0,0.0
base_hit_everyone_happy,9,0.0,218181.81818181818,218181.81818181818,3963636.363636365,525000.0,4725000.0,743181.8181818181,8688636.363636365,765849.7151613107,319829.34830899764,1303860.8816521266,1085679.0634703084,482428.52621128684,401701.25348401413,80727.2727272727,855857.9318181816,102113.29535484145,182840.56808211416,1574489.5834394689,0.1574489583439469,0.0,0.0,0.0
base_hit_everyone_happy,10,0.0,218181.81818181818,218181.81818181818,4181818.1818181835,525000.0,5250000.0,743181.8181818181,9431818.181818184,817212.4215143342,389988.08529739146,1425382.3249935438,1207200.5068117257,527391.4602476112,446664.1875203385,80727.27272727265,936585.2045454544,108961.65620191123,189688.92892918386,1764178.5123686527,0.17641785123686526,0.0,0.0,0.0
base_hit_everyone_happy,11,0.0,218181.81818181818,218181.81818181818,4400000.000000002,525000.0,5775000.0,743181.8181818181,10175000.000000002,871997.731492752,464777.29892701906,1554956.8486015892,1336775.030419771,575334.033982588,494606.7612553153,80727.2727272727,1017312.4772727271,116266.36419903359,196993.6369263063,1961172.149294959,0.19611721492949588,0.0,0.0,0.0
base_hit_everyone_happy,12,0.0,218181.81818181818,218181.81818181818,4618181.81818182,525000.0,6300000.0,743181.8181818181,10918181.81818182,930432.8435360844,544502.6006562025,1693117.262374105,1474935.444192287,626453.3870784189,545726.1143511462,80727.2727272727,1098039.7499999998,19056140.32797777,19136867.600705042,21098039.75,2.109803975,0.0,0.0,0.0
fast_success_crypto_bull,1,2000000.0,218181.81818181818,2218181.8181818184,2218181.8181818184,525000.0,525000.0,2743181.8181818184,2743181.8181818184,425212.5,-2148181.8181818184,495212.5,-1722969.3181818184,183228.625,0.0,183228.625,183228.625,56695.0,239923.625,239923.625,0.0239923625,2148181.8181818184,425212.5,1722969.3181818184
fast_success_crypto_bull,2,0.0,218181.81818181818,218181.81818181818,2436363.6363636367,525000.0,1050000.0,743181.8181818181,3486363.6363636367,447161.625,-118074.81818181818,547268.625,329086.8068181818,202489.39125,121762.11852272728,80727.2727272727,263955.8977272727,59621.55,140348.8227272727,380272.4477272727,0.03802724477272727,118074.81818181818,447161.625,1393882.5113636365
fast_success_crypto_bull,3,0.0,218181.81818181818,218181.81818181818,2654545.454545455,525000.0,1575000.0,743181.8181818181,4229545.454545455,470234.37690000003,-86444.40398181818,601971.7911,383789.97291818185,222729.562707,142002.2899797273,80727.2727272727,344683.1704545454,62697.91692,143425.1896472727,523697.6373745454,0.05236976373745454,86444.40398181818,470234.37690000003,1010092.5384454546
fast_success_crypto_bull,4,0.0,218181.81818181818,218181.81818181818,2872727.2727272734,525000.0,2100000.0,743181.8181818181,4972727.272727273,494488.0012563901,-53213.49082329805,659456.3286149101,441274.5104330921,243998.84158751674,163271.56886024406,80727.27272727268,425410.4431818181,65931.73350085202,146659.0062281247,670356.64360267,0.067035664360267,53213.49082329805,494488.0012563901,568818.0280123624
fast_success_crypto_bull,5,0.0,218181.81818181818,218181.81818181818,3090909.0909090918,525000.0,2625000.0,743181.8181818181,5715909.090909092,519982.6519517708,-18301.093458957097,719863.3766746318,501681.5584928137,266349.4493696138,185622.17664234107,80727.2727272727,506137.7159090908,69331.02026023611,150058.29298750882,820414.9365901789,0.08204149365901789,18301.093458957097,519982.6519517708,67136.46951954876
fast_success_crypto_bull,6,0.0,218181.81818181818,218181.81818181818,3309090.90909091,525000.0,3150000.0,743181.8181818181,6459090.90909091,546781.5387072922,18377.87121201976,783341.2281011301,565159.409919312,289836.2543974181,209108.98167014544,80727.27272727268,586864.9886363635,72904.2051609723,153631.47788824496,974046.4144784238,0.09740464144784237,0.0,67136.46951954876,0.0
fast_success_crypto_bull,7,0.0,218181.81818181818,218181.81818181818,3527272.7272727285,525000.0,3675000.0,743181.8181818181,7202272.727272728,574951.0820696456,56912.79149534792,850045.6917468118,631863.8735649935,314516.9059463204,233789.6332190476,80727.2727272728,667592.2613636364,76660.14427595276,157387.41700322554,1131433.8314816493,0.11314338314816492,0.0,0.0,0.0
fast_success_crypto_bull,8,0.0,218181.81818181818,218181.81818181818,3745454.545454547,525000.0,4200000.0,743181.8181818181,7945454.545454547,604561.0762512474,97397.57874501258,920140.4731780782,701958.6549962601,340451.9750758889,259724.70234861624,80727.27272727268,748319.5340909091,80608.14350016632,161335.416227439,1292769.2477090883,0.12927692477090882,0.0,0.0,0.0
